Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,88,Joel Coleman,22,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,89,Seamus Coleman,29,29,29,2558,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.3,0.04,0.08,0.12,0.04,0.12,125,30,13,0.46,0,0.000,0.035,0.000,,
,,,90,Lewis Cook,21,13,8,723,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,22,10,3,0.37,0,0.000,0.249,0.000,,
,,,91,Steve Cook,27,31,31,2786,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,1.2,0.03,0.04,0.07,0.03,0.07,85,56,9,0.29,0,0.000,0.097,0.000,,
,,,92,Jack Cork,29,37,37,3312,1,2,0,0,6,0,0.03,0.05,0.08,0.03,0.08,1.7,1.7,1.6,0.05,0.04,0.09,0.05,0.09,87,63,8,0.22,0,0.000,0.163,0.000,,
,,,93,Hélder Costa,24,25,16,1341,1,2,0,0,3,0,0.07,0.13,0.2,0.07,0.2,2.4,2.4,1.6,0.16,0.11,0.27,0.16,0.27,52,19,5,0.34,0,0.000,0.201,0.000,,
,,,94,Aaron Cresswell,28,20,18,1589,0,1,0,0,1,0,0,0.06,0.06,0,0.06,0.5,0.5,1.1,0.03,0.06,0.09,0.03,0.09,34,26,1,0.06,0,0.000,0.057,0.000,,
,,,95,Peter Crouch,37,6,0,92,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.36,0,0.36,0.36,0.36,8,3,0,0.00,0,0.000,0.978,0.000,,
,,,96,Greg Cunningham,27,7,7,630,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0,0.02,0.03,0,0.03,9,17,1,0.14,0,0.000,0.429,0.000,,
,,,97,Diogo Dalot,19,16,12,1013,0,2,0,0,3,0,0,0.18,0.18,0,0.18,0.4,0.4,1.7,0.04,0.15,0.19,0.04,0.19,27,18,1,0.09,0,0.000,0.267,0.000,,
,,,98,Matty Daly,17,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,99,Loïc Damour,27,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,2,2,0,0.00,0,0.000,0.000,0.000,,
,,,100,Charlie Daniels,31,21,17,1585,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.5,0.5,1,0.03,0.05,0.09,0.03,0.09,44,34,4,0.23,0,0.000,0.227,0.000,,
,,,101,Danilo Luiz da Silva,27,11,9,807,1,0,0,0,1,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0.3,0.05,0.04,0.09,0.05,0.09,46,7,4,0.45,0,0.000,0.112,0.000,,
,,,102,Scott Dann,31,10,7,663,0,1,0,0,1,0,0,0.14,0.14,0,0.14,0.3,0.3,0,0.04,0,0.04,0.04,0.04,23,10,2,0.27,0,0.000,0.136,0.000,,
,,,103,Matteo Darmian,28,6,5,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03,14,8,1,0.20,0,0.000,0.000,0.000,,
,,,104,Ben Davies,25,27,20,1844,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,1.9,0.04,0.09,0.13,0.04,0.13,66,26,6,0.29,0,0.000,0.098,0.000,,
,,,105,Tom Davies,20,16,10,980,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.5,0.03,0.05,0.08,0.03,0.08,26,19,2,0.18,0,0.000,0.276,0.000,,
,,,106,Steven Davis,33,3,1,98,0,1,0,0,0,0,0,0.92,0.92,0,0.92,0,0,0.7,0,0.6,0.6,0,0.6,9,4,0,0.00,0,0.000,0.000,0.000,,
,,,107,Kevin De Bruyne,27,19,11,975,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,2.1,2.1,3.5,0.2,0.32,0.52,0.2,0.52,59,3,6,0.55,0,0.000,0.185,0.000,,
,,,108,Troy Deeney,30,32,28,2545,9,5,1,1,4,1,0.32,0.18,0.5,0.28,0.46,9.3,8.5,4.7,0.33,0.17,0.5,0.3,0.47,116,44,5,0.18,0,0.000,0.141,0.035,,
,,,109,Jermain Defoe,35,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1.6,0,1.6,1.6,1.6,4,2,0,0.00,0,0.000,0.000,0.000,,
,,,110,Steven Defour,30,6,6,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,10,14,0,0.00,0,0.000,0.000,0.000,,
,,,111,Fabian Delph,28,11,8,725,0,1,0,0,1,1,0,0.12,0.12,0,0.12,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,29,9,3,0.37,0,0.000,0.124,0.124,,
