Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,386,Richarlison de Andrade,21,35,32,2665,13,1,0,0,5,1,0.44,0.03,0.47,0.44,0.47,9,9,1.4,0.3,0.05,0.35,0.3,0.35,153,36,11,0.37,0,0.000,0.169,0.034,,
,,,387,Diego Rico,25,12,5,612,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.1,0.03,0.17,0.2,0.03,0.2,8,19,0,0.00,0,0.000,0.147,0.000,,
,,,388,Sergio Rico,24,29,29,2610,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,86,56,5,0.17,0,0.000,0.034,0.000,,
,,,389,Matt Ritchie,28,36,35,2928,2,8,1,2,9,0,0.06,0.25,0.31,0.03,0.28,5,3.5,4.6,0.15,0.14,0.29,0.11,0.25,110,40,10,0.31,1,0.031,0.277,0.000,,
,,,390,Andrew Robertson,24,36,36,3216,0,11,0,0,4,0,0,0.31,0.31,0,0.31,0.9,0.9,6.8,0.03,0.19,0.22,0.03,0.22,213,20,21,0.59,0,0.000,0.112,0.000,,
,,,391,Marcos Rojo,28,5,2,212,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.11,0,0.11,0.11,0.11,2,5,0,0.00,0,0.000,0.849,0.000,,
,,,392,Oriol Romeu,26,31,25,2136,1,0,0,0,11,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.4,0.03,0.01,0.05,0.03,0.05,55,37,6,0.25,0,0.000,0.463,0.000,,
,,,393,Salomón Rondón,28,32,30,2603,11,7,0,0,1,0,0.38,0.24,0.62,0.38,0.62,11,11,3.3,0.38,0.11,0.49,0.38,0.49,148,31,9,0.31,0,0.000,0.035,0.000,,
,,,394,Danny Rose,28,26,20,1798,0,3,0,0,5,0,0,0.15,0.15,0,0.15,0.7,0.7,2.1,0.03,0.11,0.14,0.03,0.14,86,16,8,0.40,0,0.000,0.250,0.000,,
,,,395,Aaron Rowe,17,2,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,396,John Ruddy,31,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1.00,0,0.000,0.000,0.000,,
,,,397,Antonio Rüdiger,25,33,33,2871,1,0,0,0,7,0,0.03,0,0.03,0.03,0.03,2,2,0.5,0.06,0.02,0.08,0.06,0.08,116,35,12,0.38,0,0.000,0.219,0.000,,
,,,398,Mathew Ryan,26,34,34,3060,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,55,6,0.18,0,0.000,0.059,0.000,,
,,,399,Abdelhamid Sabiri,21,2,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.00,0,0.000,0.000,0.000,,
,,,400,Romain Saïss,28,19,12,1149,2,0,0,0,7,0,0.16,0,0.16,0.16,0.16,1.5,1.5,0.3,0.12,0.02,0.14,0.12,0.14,47,17,3,0.23,0,0.000,0.548,0.000,,
,,,401,Bukayo Saka,16,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,402,Mamadou Sakho,28,27,27,2416,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.5,0.03,0.02,0.05,0.03,0.05,88,35,9,0.34,0,0.000,0.075,0.000,,
,,,403,Bakary Sako,30,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0.00,0,0.000,0.000,0.000,,
,,,404,Mohamed Salah,26,38,37,3250,22,8,3,3,1,0,0.61,0.22,0.83,0.53,0.75,19.1,16.8,9.1,0.53,0.25,0.78,0.46,0.72,259,20,21,0.58,0,0.000,0.028,0.000,,
,,,405,Alexis Sánchez,29,20,9,880,1,3,0,0,3,0,0.1,0.31,0.41,0.1,0.41,1.5,1.5,3.1,0.15,0.31,0.46,0.15,0.46,47,10,2,0.20,0,0.000,0.307,0.000,,
,,,406,Carlos Sánchez,32,7,2,245,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,9,4,0,0.00,0,0.000,0.000,0.000,,
,,,407,Davinson Sánchez,22,23,22,1942,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,1.2,1.2,0,0.05,0,0.06,0.05,0.06,78,22,6,0.28,0,0.000,0.093,0.000,,
,,,408,Leroy Sané,22,31,21,1867,10,10,0,0,1,0,0.48,0.48,0.96,0.48,0.96,6,6,6.6,0.29,0.32,0.61,0.29,0.61,156,14,9,0.43,0,0.000,0.048,0.000,,
,,,409,Fabian Schär,26,24,22,1999,4,1,0,0,12,0,0.18,0.05,0.23,0.18,0.23,1.7,1.7,0.6,0.08,0.03,0.1,0.08,0.1,93,23,7,0.32,0,0.000,0.540,0.000,,
,,,410,Christopher Schindler,28,37,37,3260,1,0,0,0,5,1,0.03,0,0.03,0.03,0.03,1.4,1.4,0.2,0.04,0.01,0.05,0.04,0.05,76,72,5,0.14,0,0.000,0.138,0.028,,
,,,411,Jeffrey Schlupp,25,30,18,1670,4,1,0,0,1,0,0.22,0.05,0.27,0.22,0.27,3,3,1.5,0.16,0.08,0.25,0.16,0.25,91,26,4,0.22,0,0.000,0.054,0.000,,
,,,412,Kasper Schmeichel,31,38,38,3420,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0,0.01,0.01,0,0.01,120,48,10,0.26,0,0.000,0.079,0.000,,
,,,413,Morgan Schneiderlin,28,14,10,834,0,1,0,0,2,0,0,0.11,0.11,0,0.11,0.1,0.1,0.6,0.01,0.06,0.08,0.01,0.08,28,9,5,0.54,0,0.000,0.216,0.000,,
,,,414,André Schürrle,27,24,21,1641,6,0,0,0,2,0,0.33,0,0.33,0.33,0.33,3.4,3.4,1.6,0.18,0.09,0.27,0.18,0.27,75,43,2,0.11,0,0.000,0.110,0.000,,
,,,415,Ken Sema,24,17,9,754,1,2,0,0,1,0,0.12,0.24,0.36,0.12,0.36,0.8,0.8,0.4,0.09,0.05,0.14,0.09,0.14,37,9,3,0.36,0,0.000,0.119,0.000,,
,,,416,Jean Michael Seri,27,32,27,2244,1,2,0,0,6,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,3.8,0.04,0.15,0.2,0.04,0.2,72,54,3,0.12,0,0.000,0.241,0.000,,
,,,417,Ryan Sessegnon,18,35,26,2300,2,6,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.2,3.2,4.8,0.12,0.19,0.31,0.12,0.31,94,60,3,0.12,0,0.000,0.000,0.000,,
,,,418,Xherdan Shaqiri,26,24,11,1064,6,3,0,0,2,0,0.51,0.25,0.76,0.51,0.76,3.7,3.7,1.9,0.32,0.16,0.47,0.32,0.47,88,6,7,0.59,0,0.000,0.169,0.000,,
,,,419,Luke Shaw,23,29,29,2591,1,4,0,0,11,0,0.03,0.14,0.17,0.03,0.17,1,1,3.5,0.04,0.12,0.16,0.04,0.16,91,39,6,0.21,0,0.000,0.382,0.000,,
,,,420,Jonjo Shelvey,26,16,10,948,1,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,1,1,1.4,0.09,0.13,0.22,0.09,0.22,39,13,5,0.47,0,0.000,0.095,0.000,,
,,,421,Gylfi Sigurdsson,28,38,36,3117,13,6,2,5,3,0,0.38,0.17,0.55,0.32,0.49,10.8,6.9,7,0.31,0.2,0.51,0.2,0.4,182,41,15,0.43,3,0.087,0.087,0.000,,
,,,422,Adrien Silva,29,2,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.00,0,0.000,0.000,0.000,,
,,,423,Bernardo Silva,23,36,31,2854,7,7,0,0,3,0,0.22,0.22,0.44,0.22,0.44,6.5,6.5,7.4,0.21,0.23,0.44,0.21,0.44,154,22,15,0.47,0,0.000,0.095,0.000,,
,,,424,David Silva,32,33,28,2401,6,8,0,0,2,0,0.22,0.3,0.52,0.22,0.52,6.9,6.9,9,0.26,0.34,0.6,0.26,0.6,143,14,16,0.60,0,0.000,0.075,0.000,,
,,,425,Xande Silva,21,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.33,0.1,0.43,0.33,0.43,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,426,Danny Simpson,31,6,3,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0.31,0,0.000,0.000,0.000,,
,,,427,Jack Simpson,21,6,4,403,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.01,0.04,0.03,0.04,10,9,1,0.22,0,0.000,0.000,0.000,,
,,,428,Josh Sims,21,7,2,212,0,1,0,0,0,0,0,0.42,0.42,0,0.42,0.6,0.6,0.5,0.25,0.22,0.47,0.25,0.47,11,6,0,0.00,0,0.000,0.000,0.000,,
,,,429,Moussa Sissoko,28,29,27,2330,0,3,0,0,2,0,0,0.12,0.12,0,0.12,1.2,1.2,2.4,0.04,0.09,0.14,0.04,0.14,76,28,11,0.42,0,0.000,0.077,0.000,,
,,,430,Oliver Skipp,17,8,2,220,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.01,0.03,0.02,0.03,12,1,2,0.82,0,0.000,0.000,0.000,,
,,,431,Callum Slattery,19,3,1,112,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.14,0,0.14,0.14,0.14,4,1,0,0.00,0,0.000,0.000,0.000,,
,,,432,Chris Smalling,28,24,24,2127,1,0,0,0,1,0,0.04,0,0.04,0.04,0.04,1.1,1.1,0.4,0.05,0.02,0.06,0.05,0.06,56,36,4,0.17,0,0.000,0.042,0.000,,
,,,433,Adam Smith,27,25,25,2066,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.4,0.4,0.8,0.02,0.04,0.05,0.02,0.05,70,33,8,0.35,0,0.000,0.218,0.044,,
,,,434,Tommy Smith,26,15,13,1141,0,0,0,0,2,1,0,0,0,0,0,0,0,0.5,0,0.04,0.04,0,0.04,9,37,1,0.08,0,0.000,0.158,0.079,,
,,,435,Robert Snodgrass,30,33,25,2220,2,5,0,0,10,0,0.08,0.2,0.28,0.08,0.28,2.3,2.3,4.9,0.09,0.2,0.29,0.09,0.29,85,33,5,0.20,0,0.000,0.405,0.000,,
,,,436,Cédric Soares,26,18,16,1495,1,2,0,0,4,0,0.06,0.12,0.18,0.06,0.18,0.3,0.3,1.2,0.02,0.07,0.09,0.02,0.09,52,31,4,0.24,0,0.000,0.241,0.000,,
,,,437,Ramadan Sobhi,21,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.29,0.29,0,0.29,4,2,0,0.00,0,0.000,0.000,0.000,,
,,,438,Dominic Solanke,20,10,2,347,0,1,0,0,0,0,0,0.26,0.26,0,0.26,0.9,0.9,0.6,0.23,0.16,0.39,0.23,0.39,15,5,0,0.00,0,0.000,0.000,0.000,,
,,,439,Pape Souaré,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,440,Caglar Soyuncu,22,6,4,372,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03,9,4,0,0.00,0,0.000,0.242,0.000,,
,,,441,Julian Speroni,39,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0.00,0,0.000,0.000,0.000,,
,,,442,Junior Stanislas,28,23,11,1031,2,3,1,1,1,0,0.17,0.26,0.44,0.09,0.35,3.9,3.1,2.1,0.34,0.18,0.52,0.27,0.45,56,24,2,0.17,0,0.000,0.087,0.000,,
,,,443,Dale Stephens,29,30,29,2485,1,1,0,0,6,1,0.04,0.04,0.07,0.04,0.07,0.3,0.3,0.8,0.01,0.03,0.04,0.01,0.04,65,46,5,0.18,0,0.000,0.217,0.036,,
,,,444,Jack Stephens,24,24,19,1700,1,0,0,0,4,0,0.05,0,0.05,0.05,0.05,0.7,0.7,0.1,0.04,0.01,0.04,0.04,0.04,47,35,3,0.16,0,0.000,0.212,0.000,,
,,,445,Raheem Sterling,23,34,31,2771,17,9,0,0,3,0,0.55,0.29,0.84,0.55,0.84,13.1,13.1,9.2,0.43,0.3,0.73,0.43,0.73,234,19,17,0.55,0,0.000,0.097,0.000,,
,,,446,John Stones,24,24,20,1764,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.01,0.01,0.02,0.01,0.02,83,15,9,0.46,0,0.000,0.051,0.000,,
,,,447,Daniel Sturridge,28,18,4,509,2,1,0,0,1,0,0.35,0.18,0.53,0.35,0.53,1.2,1.2,1.2,0.21,0.21,0.42,0.21,0.42,34,5,2,0.35,0,0.000,0.177,0.000,,
,,,448,Denis Suárez,24,4,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.00,0,0.000,0.000,0.000,,
,,,449,Isaac Success,22,30,9,1052,1,1,0,0,4,0,0.09,0.09,0.17,0.09,0.17,2.7,2.7,2.1,0.23,0.18,0.41,0.23,0.41,42,21,2,0.17,0,0.000,0.342,0.000,,
,,,450,Sung-Yueng Ki,29,18,14,1302,0,1,0,0,2,0,0,0.07,0.07,0,0.07,0.2,0.2,0.9,0.01,0.06,0.07,0.01,0.07,38,20,4,0.28,0,0.000,0.138,0.000,,
,,,451,Andrew Surman,31,18,16,1439,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.7,0.02,0.04,0.06,0.02,0.06,36,37,4,0.25,0,0.000,0.125,0.000,,
,,,452,Sam Surridge,20,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,2.7,0.44,3.14,2.7,3.14,2,0,0,0.00,0,0.000,0.000,0.000,,
,,,453,Alexander Sørloth,22,12,0,185,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.11,0.29,0.4,0.11,0.4,12,3,0,0.00,0,0.000,0.000,0.000,,
,,,454,Matt Targett,22,16,13,1186,1,3,0,0,2,0,0.08,0.23,0.3,0.08,0.3,0.6,0.6,2.5,0.04,0.19,0.24,0.04,0.24,36,25,0,0.00,0,0.000,0.152,0.000,,
,,,455,James Tarkowski,25,35,35,3086,3,1,0,0,8,0,0.09,0.03,0.12,0.09,0.12,3.6,3.6,0.3,0.11,0.01,0.11,0.11,0.11,97,63,7,0.20,0,0.000,0.233,0.000,,
,,,456,Charlie Taylor,24,38,35,3243,0,1,0,0,2,0,0,0.03,0.03,0,0.03,0.1,0.1,1.1,0,0.03,0.03,0,0.03,82,64,7,0.19,0,0.000,0.056,0.000,,
,,,457,Youri Tielemans,21,13,13,1086,3,4,0,0,2,0,0.25,0.33,0.58,0.25,0.58,1.8,1.8,2.5,0.15,0.21,0.36,0.15,0.36,63,14,3,0.25,0,0.000,0.166,0.000,,
,,,458,James Tomkins,29,29,29,2560,1,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,1.3,1.3,0.9,0.04,0.03,0.08,0.04,0.08,86,37,10,0.35,0,0.000,0.176,0.000,,
,,,459,Lucas Torreira,22,34,24,2382,2,2,0,0,7,1,0.08,0.08,0.15,0.08,0.15,1.7,1.7,1.3,0.06,0.05,0.11,0.06,0.11,78,38,5,0.19,0,0.000,0.264,0.038,,
,,,460,Cenk Tosun,27,25,10,1059,3,3,0,0,3,0,0.25,0.25,0.51,0.25,0.51,3.9,3.9,0.5,0.33,0.05,0.37,0.33,0.37,56,17,1,0.08,0,0.000,0.255,0.000,,
,,,461,Andros Townsend,27,38,34,3009,6,4,0,0,1,0,0.18,0.12,0.3,0.18,0.3,4.9,4.9,5.2,0.15,0.16,0.3,0.15,0.3,135,46,11,0.33,0,0.000,0.030,0.000,,
,,,462,Adama Traoré,22,29,8,902,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,1.2,1.2,1.8,0.12,0.18,0.3,0.12,0.3,44,13,1,0.10,0,0.000,0.100,0.000,,
,,,463,Mark Travers,19,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,0.50,0,0.000,0.000,0.000,,
,,,464,Kieran Trippier,27,27,26,2276,1,3,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.5,0.5,4.2,0.02,0.17,0.19,0.02,0.19,118,23,10,0.40,0,0.000,0.079,0.000,,
,,,465,Antonio Valencia,32,6,5,466,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.6,0.01,0.12,0.14,0.01,0.14,17,5,2,0.39,0,0.000,0.386,0.000,,
,,,466,Yan Valery,19,23,20,1712,2,1,0,0,4,1,0.11,0.05,0.16,0.11,0.16,0.6,0.6,0.2,0.03,0.01,0.04,0.03,0.04,54,30,3,0.16,0,0.000,0.210,0.053,,
,,,467,Jamie Vardy,31,34,30,2726,18,4,4,5,3,1,0.59,0.13,0.73,0.46,0.59,17.5,13.7,4.4,0.58,0.14,0.72,0.45,0.6,174,36,11,0.36,1,0.033,0.099,0.033,,
,,,468,Jan Vertonghen,31,22,22,1911,1,0,0,0,4,1,0.05,0,0.05,0.05,0.05,1.5,1.5,0.2,0.07,0.01,0.08,0.07,0.08,67,23,6,0.28,0,0.000,0.188,0.047,,
,,,469,Jannik Vestergaard,25,23,23,2027,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.6,0.02,0.03,0.05,0.02,0.05,50,31,4,0.18,0,0.000,0.089,0.000,,
,,,470,Luciano Vietto,24,20,10,986,1,4,0,0,1,0,0.09,0.37,0.46,0.09,0.46,2.1,2.1,2.2,0.2,0.2,0.4,0.2,0.4,47,21,1,0.09,0,0.000,0.091,0.000,,
,,,471,Ruben Vinagre,19,17,7,710,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.8,0.04,0.1,0.14,0.04,0.14,24,9,1,0.13,0,0.000,0.127,0.000,,
,,,472,Sam Vokes,28,20,10,915,3,0,0,0,0,0,0.3,0,0.3,0.3,0.3,2.7,2.7,0.5,0.26,0.04,0.31,0.26,0.31,48,20,2,0.20,0,0.000,0.000,0.000,,
,,,473,Michel Vorm,34,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0.00,0,0.000,0.000,0.000,,
,,,474,Matej Vydra,26,13,3,318,1,1,0,0,1,0,0.28,0.28,0.57,0.28,0.57,1.4,1.4,0.2,0.41,0.07,0.48,0.41,0.48,21,7,0,0.00,0,0.000,0.283,0.000,,
,,,475,Theo Walcott,29,37,24,2119,5,2,0,0,1,0,0.21,0.08,0.3,0.21,0.3,5.7,5.7,2.5,0.24,0.11,0.35,0.24,0.35,101,33,6,0.25,0,0.000,0.042,0.000,,
,,,476,Kyle Walker,28,33,30,2779,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.7,0.02,0.05,0.08,0.02,0.08,150,17,18,0.58,0,0.000,0.097,0.000,,
,,,477,Kyle Walker-Peters,21,6,4,376,0,3,0,0,1,0,0,0.72,0.72,0,0.72,0.4,0.4,0.7,0.09,0.17,0.26,0.09,0.26,28,4,2,0.48,0,0.000,0.239,0.000,,
,,,478,Aaron Wan-Bissaka,20,35,35,3134,0,3,0,0,4,1,0,0.09,0.09,0,0.09,0.5,0.5,1.8,0.01,0.05,0.07,0.01,0.07,120,47,12,0.34,0,0.000,0.115,0.029,,
,,,479,Victor Wanyama,27,13,4,516,1,0,0,0,2,0,0.17,0,0.17,0.17,0.17,1,1,0,0.17,0.01,0.18,0.17,0.18,24,4,3,0.52,0,0.000,0.349,0.000,,
,,,480,Danny Ward,26,14,4,445,1,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.6,0.6,0.2,0.12,0.03,0.15,0.12,0.15,22,14,0,0.00,0,0.000,0.000,0.000,,
,,,481,Danny Ward,26,14,4,445,1,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.6,0.6,0.2,0.12,0.03,0.15,0.12,0.15,0,0,0,0.00,0,0.000,0.000,0.000,,
,,,482,Joel Ward,28,7,6,552,1,0,0,0,1,0,0.16,0,0.16,0.16,0.16,0.7,0.7,0.2,0.11,0.03,0.14,0.11,0.14,13,14,0,0.00,0,0.000,0.163,0.000,,
,,,483,Stephen Ward,32,3,3,228,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.02,0.06,0.04,0.06,7,6,1,0.39,0,0.000,0.395,0.000,,
,,,484,James Ward-Prowse,23,26,21,1945,7,0,1,1,4,0,0.32,0,0.32,0.28,0.28,3.7,2.9,3.2,0.17,0.15,0.32,0.14,0.29,94,41,3,0.14,0,0.000,0.185,0.000,,
,,,485,Danny Welbeck,27,8,1,153,1,1,0,0,0,0,0.59,0.59,1.18,0.59,1.18,0.5,0.5,0.7,0.3,0.42,0.72,0.3,0.72,19,3,0,0.00,0,0.000,0.000,0.000,,
,,,486,Ashley Westwood,28,34,31,2824,2,7,0,0,5,0,0.06,0.22,0.29,0.06,0.29,2.1,2.1,5.1,0.07,0.16,0.23,0.07,0.23,111,55,7,0.22,0,0.000,0.159,0.000,,
,,,487,Connor Wickham,25,6,0,67,0,1,0,0,0,0,0,1.34,1.34,0,1.34,0.5,0.5,0.3,0.68,0.45,1.13,0.68,1.13,9,1,0,0.00,0,0.000,0.000,0.000,,
,,,488,Georginio Wijnaldum,27,35,32,2725,3,0,0,0,3,0,0.1,0,0.1,0.1,0.1,2.5,2.5,1.2,0.08,0.04,0.12,0.08,0.12,108,16,18,0.59,0,0.000,0.099,0.000,,
,,,489,Danny Williams,29,5,1,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,6,1,1,0.94,0,0.000,0.938,0.000,,
,,,490,Willian Borges Da Silva,29,32,26,2097,3,6,0,0,2,0,0.13,0.26,0.39,0.13,0.39,4.6,4.6,6.2,0.2,0.27,0.46,0.2,0.46,108,25,11,0.47,0,0.000,0.086,0.000,,
,,,491,Joe Willock,18,2,1,64,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.17,0,0.17,0.17,0.17,4,1,1,1.41,0,0.000,0.000,0.000,,
,,,492,Ben Wilmot,18,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.00,0,0.000,0.000,0.000,,
,,,493,Jack Wilshere,26,8,4,392,0,1,0,0,2,0,0,0.23,0.23,0,0.23,0.2,0.2,0.4,0.05,0.09,0.14,0.05,0.14,17,10,1,0.23,0,0.000,0.459,0.000,,
,,,494,Callum Wilson,26,30,29,2528,14,9,1,2,3,0,0.5,0.32,0.82,0.46,0.78,14.1,12.6,4.2,0.5,0.15,0.65,0.45,0.6,168,47,9,0.32,1,0.036,0.107,0.000,,
,,,495,Harry Winks,22,26,17,1597,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.6,0.6,0.2,0.04,0.01,0.04,0.04,0.04,53,17,6,0.34,0,0.000,0.225,0.000,,
,,,496,Chris Wood,26,38,29,2588,10,2,0,0,2,0,0.35,0.07,0.42,0.35,0.42,8.9,8.9,2,0.31,0.07,0.38,0.31,0.38,131,49,7,0.24,0,0.000,0.070,0.000,,
,,,497,Granit Xhaka,25,29,29,2498,4,2,0,0,10,0,0.14,0.07,0.22,0.14,0.22,1.6,1.6,3.6,0.06,0.13,0.19,0.06,0.19,90,37,7,0.25,0,0.000,0.360,0.000,,
,,,498,Andriy Yarmolenko,28,9,5,459,2,0,0,0,2,0,0.39,0,0.39,0.39,0.39,1,1,0.5,0.21,0.11,0.31,0.21,0.31,27,6,1,0.20,0,0.000,0.392,0.000,,
,,,499,DeAndre Yedlin,25,29,28,2473,1,2,0,0,6,1,0.04,0.07,0.11,0.04,0.11,1,1,2.9,0.04,0.1,0.14,0.04,0.14,63,41,5,0.18,0,0.000,0.218,0.036,,
,,,500,Maya Yoshida,29,17,17,1518,0,1,0,0,0,0,0,0.06,0.06,0,0.06,1.7,1.7,0.4,0.1,0.02,0.13,0.1,0.13,44,29,3,0.18,0,0.000,0.000,0.000,,
,,,501,Ashley Young,33,30,28,2569,2,2,0,0,9,1,0.07,0.07,0.14,0.07,0.14,0.4,0.4,3.4,0.01,0.12,0.13,0.01,0.13,73,44,4,0.14,0,0.000,0.315,0.035,,
,,,502,Pablo Zabaleta,33,26,23,2092,0,1,0,0,4,0,0,0.04,0.04,0,0.04,0.2,0.2,0.8,0.01,0.03,0.04,0.01,0.04,56,35,4,0.17,0,0.000,0.172,0.000,,
,,,503,Wilfried Zaha,25,34,34,3036,10,5,0,0,9,1,0.3,0.15,0.44,0.3,0.44,6.6,6.6,5.6,0.2,0.16,0.36,0.2,0.36,143,49,11,0.33,0,0.000,0.267,0.030,,
,,,504,Andre-Frank Zambo Anguissa,22,22,16,1517,0,0,0,0,2,1,0,0,0,0,0,0.8,0.8,0.4,0.05,0.02,0.07,0.05,0.07,37,33,3,0.18,0,0.000,0.119,0.059,,
,,,505,Davide Zappacosta,26,4,1,128,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.1,0.14,0.04,0.14,9,0,1,0.70,0,0.000,0.000,0.000,,
,,,506,Oleksandr Zinchenko,21,14,14,1151,0,3,0,0,1,0,0,0.23,0.23,0,0.23,0.1,0.1,1.3,0.01,0.1,0.11,0.01,0.11,44,4,9,0.70,0,0.000,0.078,0.000,,
,,,507,Kenneth Zohore,24,19,7,753,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,1.9,1.9,1.1,0.22,0.13,0.35,0.22,0.35,33,19,2,0.24,0,0.000,0.120,0.000,,
,,,508,Kurt Zouma,23,32,29,2612,2,2,0,0,4,1,0.07,0.07,0.14,0.07,0.14,1.3,1.3,0.3,0.04,0.01,0.06,0.04,0.06,112,39,10,0.34,0,0.000,0.138,0.034,,
,,,509,Patrick van Aanholt,28,29,29,2507,3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.2,0.08,0.11,0.2,0.06,0.17,109,38,8,0.29,0,0.000,0.000,0.000,,
,,,510,Max Aarons,19,36,36,3240,0,1,0,0,7,0,0,0.03,0.03,0,0.03,0.5,0.5,3.4,0.01,0.09,0.11,0.01,0.11,66,71,5,0.14,0,0.000,0.194,0.000,,
,,,511,Tammy Abraham,21,34,25,2215,15,3,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,0.57,0.1,0.67,0.57,0.67,153,34,7,0.28,0,0.000,0.081,0.000,,
,,,512,Che Adams,23,30,12,1111,4,2,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4,4,1.2,0.32,0.1,0.42,0.32,0.42,78,17,4,0.32,0,0.000,0.000,0.000,,
,,,513,Adrian San Miguel del Castillo,32,11,9,875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,2,0.21,0,0.000,0.103,0.000,,
,,,514,Sergio Agüero,31,24,18,1452,16,3,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14,11.8,2.4,0.87,0.15,1.02,0.73,0.88,132,18,5,0.31,1,0.062,0.062,0.000,,
,,,515,Albian Ajeti,22,9,0,139,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,9,3,0,0.00,0,0.000,0.000,0.000,,
